#All are unchanged except code 0, which is not an error code. 
#Live data for error codes can be obtained here: https://login.microsoftonline.com/error
#this list is an enumeration of that web resource (i.e. brute forcing all values between 0 and 9000000)

Error Code|||||Message|||||Remediation
0|||||No specific error message for this error code|||||No Remediation Provided
16000|||||Either multiple user identities are available for the current request or selected account is not supported for the scenario.|||||This is not an error scenario, but is handled like one by Azure AD to handle certain authentication flows.  This is not an indication that anything went wrong.
16001|||||Active accounts must be logged out first.|||||No Remediation Provided
16002|||||Application requested to sign out of a user session which does not exist.|||||No Remediation Provided
16003|||||The user account does not exist in the directory or the user hasn't been explicitly added to the tenant. To sign into this application, the account must be added to the directory.|||||Invite the user to the tenant, or ignore this error if the user isn't supposed to be a member of the tenant. This can be the case when someone is sent to a login URL for your tenant without being a member, or picks the wrong user account.
17001|||||Protected credential key can not be decoded.|||||No Remediation Provided
17002|||||Credential key can not be protected.|||||No Remediation Provided
17003|||||User key ({keyType}) could not be provisioned.|||||No Remediation Provided
17004|||||Protected credential key can not be decoded.|||||No Remediation Provided
18000|||||Cannot decrypt auth ticket with key version '{version}'.|||||No Remediation Provided
18001|||||Cannot decrypt buffer because of a HMAC mismatch.|||||No Remediation Provided
20001|||||The sign-in response message does not contain an issued token.|||||There's an issue with your federated identity provider. The WS-Federation response acquired from a federated identity provider has been successfully parsed, but it did not contain SAML 1.1 assertion issued for the user. Please contact your identity provider to resolve this issue.
20002|||||An error occurred while attempting to export Federation Metadata.|||||No Remediation Provided
20012|||||An error occurred when we tried to process a WS-Federation message. The message was invalid.|||||There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.
20024|||||Federation metadata retrieval failed after multiple retries.|||||No Remediation Provided
20033|||||The actual message content is runtime specific. Please see returned exception message for details.|||||Actual message content is runtime specific. Please see returned exception message for details.
20034|||||Non-retryable error has occurred.|||||No Remediation Provided
25008|||||Unable to parse assertion.|||||No Remediation Provided
26000|||||The provided access grant requires interaction.|||||No Remediation Provided
27000|||||Error when processing DeviceAuthRedirect request.|||||No Remediation Provided
28000|||||Provided value for the input parameter scope is not valid because it contains more than one resource. Scope {scope} is not valid.|||||No Remediation Provided
28001|||||Provided request must include a 'scope' input parameter.|||||No Remediation Provided
28002|||||Provided value for the input parameter scope '{scope}' is not valid when requesting an access token. Please specify a valid scope.|||||No Remediation Provided
28003|||||Provided value for the input parameter scope cannot be empty when requesting an access token using the provided authorization code. Please specify a valid scope.|||||No Remediation Provided
28004|||||The provided value for the input parameter 'scope' exceeded the number of scopes allowed. The scope {scope} is not valid.|||||No Remediation Provided
28005|||||The provided value for the input parameter 'actionid' was invalid.|||||No Remediation Provided
28006|||||The provided value for the input parameter 'pageid' was invalid.|||||No Remediation Provided
28007|||||The parameters provided in the request are incorrect or missing.|||||No Remediation Provided
29000|||||Invalid signing key for SSH certificate|||||No Remediation Provided
29001|||||User is missing UPN or email|||||No Remediation Provided
29002|||||Missing Proof of Possession key|||||No Remediation Provided
29003|||||Proof of Possession key is invalid|||||No Remediation Provided
29004|||||Proof of Possession key type is not supported|||||No Remediation Provided
29005|||||The token scenario {tokenScenario} is invalid.|||||No Remediation Provided
29006|||||Client is missing application principal ID (Client ID) in tenant {tenantId}|||||No Remediation Provided
29007|||||The permission (scope) list {scopeListString} is missing user_impersonation|||||No Remediation Provided
29008|||||The resource 'Microsoft Azure Linux Virtual Machine Sign-In' ({resourceUrl}) is required for SSH certificate token request|||||No Remediation Provided
29100|||||A transient error has occurred. Please try again.|||||No Remediation Provided
29200|||||QR Code requested. Generate QR code and display on UX page for interactive sign-ins.|||||No Remediation Provided
29201|||||Invalid QR Code request. Client Id ({clientId}) or target client Id ({targetClientId}) is invalid.|||||No Remediation Provided
29202|||||Invalid scope and response_type request parameters. scope=qrcode can only be used with response_type=none.|||||No Remediation Provided
29203|||||Invalid target_client_id '{targetClientId}' argument value.|||||No Remediation Provided
29204|||||Failed to write QR Code token to Store.|||||No Remediation Provided
29205|||||Generated QR Code string has exceeded maximum supported length.|||||No Remediation Provided
29206|||||Invalid QR Code redemption request. Client Id ({clientId}) is invalid.|||||No Remediation Provided
29207|||||Error processing session data. QR Code is either invalid or expired.|||||No Remediation Provided
29208|||||Error processing session data. QR Code was already redeemed.|||||No Remediation Provided
29210|||||QR Code sign-in is disabled via user credential policy.|||||No Remediation Provided
29211|||||QR Code sign-in is not supported for passthrough users.|||||No Remediation Provided
29212|||||QR Code sign-in is not supported for consumer user scenarios.|||||No Remediation Provided
40002|||||The identity provider returned an error. The status returned was '{status}' and the message was '{message}'.|||||No Remediation Provided
40003|||||A required token was not emitted by an external Identity Provider.|||||No Remediation Provided
40004|||||A required token was not emitted by an external Identity Provider.|||||No Remediation Provided
40005|||||Invalid token received from external Identity Provider. Current time: {curTime}, expiry time of assertion {expTime}.|||||No Remediation Provided
40008|||||There was an unexpected error from the external identity provider.|||||There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.
40009|||||The identity provider returned an error.|||||There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.
40010|||||The identity provider has failed with a transient error.|||||The application should retry the request. If there is still an issue, contact your identity provider.
40013|||||Social IDP MicroService Federation disabled.|||||No Remediation Provided
40014|||||Federated Identity Provider is unavailable.|||||There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.
40015|||||The identity provider returned an error.|||||There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.
40016|||||The Identity Provider returned an error.|||||There is an issue with your federated identity provider. Contact your identity provider to resolve this issue.
50000|||||There was an error issuing a token or an issue with our sign-in service.|||||If this persists, open a support ticket to resolve this issue: https://docs.microsoft.com/azure/active-directory/fundamentals/active-directory-troubleshooting-support-howto
50001|||||The resource is disabled or the resource named could not be found. This can happen if the application has not been installed by the administrator of the tenant, or if the resource principal was not found in the directory or is invalid due to a typo.|||||Check your app's code to ensure that you have specified the exact and correct resource URL for the resource you are trying to access. Please see the returned exception message for details.
50002|||||This tenant isn't supported for this authentication method yet.|||||No Remediation Provided
50003|||||Certificate roll is in progress. Please retry the operation later.|||||Check the resolutions outlined at https://docs.microsoft.com/azure/active-directory/application-sign-in-problem-federated-sso-gallery#certificate-or-key-not-configured. If you still see issues, contact the app owner or an app admin.
50004|||||A transient error has occurred. Please try again.|||||No Remediation Provided
50005|||||User tried to log in to a device from a platform ({platform}) that's currently not supported through Conditional Access policy. Supported device platforms are: iOS, Android, Mac, and Windows flavors.|||||No Remediation Provided
50006|||||Signature verification failed because of an invalid signature.|||||Check out the resolution outlined at https://docs.microsoft.com/azure/active-directory/application-sign-in-problem-federated-sso-gallery. If the issue persists, contact the application owner or application administrator.
50007|||||Encryption certificate was not found in the directory.|||||No Remediation Provided
50008|||||The SAML token is invalid.|||||Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
50010|||||Audience URI validation failed since no token audiences were configured.|||||Contact the application owner for resolution.
50011|||||The reply URL specified in the request does not match the reply URLs configured for the application: '{identifier}'. {detail}|||||Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
50012|||||Authentication failed.|||||Ensure that the request is sent with the correct credentials and claims.
50013|||||Assertion failed signature validation. Possibly because the token issuer doesn't match the API version within its valid time range, it's expired or malformed, or the refresh token in the assertion is not a primary refresh token.|||||Application error. Contact the app developer and ask them to debug this issue.
50014|||||The user's redemption is in a pending state. The guest user account is not fully created yet.|||||No Remediation Provided
50015|||||The user requires legal age group consent.|||||This user was asked to provide their age due to legal requirements.
50016|||||Invalid Argument Redirect ErrorCode value.|||||No Remediation Provided
50017|||||Validation of given certificate for certificate based authentication failed.|||||Contact the tenant admin. Possible reasons for this error include: cannot find issuing certificate in trusted certificates list, unable to find expected CrlSegment, cannot find issuing certificate in trusted certificates list, delta CRL distribution point is configured without a corresponding CRL distribution point, unable to retrieve valid CRL segments because of a timeout issue, or unable to download CRL.
50020|||||User account '{email}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appId}'({appName}) in that tenant. The account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Azure Active Directory user account.|||||A user was sent to a tenanted endpoint, and signed into an AAD account that doesn't exist in your tenant. If this user should be a member of the tenant, they should be invited via the B2B system. See here for details: https://docs.microsoft.com/azure/active-directory/b2b/add-users-administrator
50023|||||ClaimType '{claimType}' is reserved for system use.|||||No Remediation Provided
50024|||||Unable to decrypt client state.|||||No Remediation Provided
50025|||||The issuer name must be specified.|||||No Remediation Provided
50027|||||JWT token is invalid or malformed.|||||Contact the application owner to fix the JWT their app is creating for authentication. This can occur for a variety of reasons: doesn't contain nonce claim or sub claim, subject identifier mismatch, duplicate claim in idToken claims, unexpected issuer, unexpected audience, not within its valid time range, or a token format issue.
50029|||||The reply URI specified in the request contains invalid characters. Domain names of this form are not supported.|||||Contact the developer to update their app and app registration to use a different URI.
50030|||||One of forwardableOnBehalfOfOriginsAcceptedAudiencesList or ForwardableOnBehalfOfOriginsAcceptedPrecedingAppsList is not set. Both fields need to be filled for PFT OBO to be successful. These must be filled for multi-hop PFT OBO to be succesful.|||||The application owner must update the app registration and provide both the app that sent the PFT and the original resource.
50032|||||RSA key size {actualSize} is less than the minimum required {minSize} bits.|||||No Remediation Provided
50033|||||A transient error has occurred. Please try again.|||||No Remediation Provided
